0	review_count	0-100
0	yelping_since	2011
0	useful	100-200
0	funny	0-100
0	cool	0-100
0	fans	0-10
0	average_stars	3.0-3.5
1	review_count	0-100
1	yelping_since	2011
1	useful	100-200
1	funny	0-100
1	cool	0-100
1	fans	0-10
1	average_stars	3.0-3.5
2	review_count	100-200
2	yelping_since	2006
2	useful	100-200
2	funny	0-100
2	cool	0-100
2	fans	0-10
2	average_stars	3.0-3.5
3	review_count	100-200
3	yelping_since	2006
3	useful	100-200
3	funny	0-100
3	cool	0-100
3	fans	0-10
3	average_stars	3.0-3.5
4	review_count	100-200
4	yelping_since	2006
4	useful	100-200
4	funny	0-100
4	cool	0-100
4	fans	0-10
4	average_stars	3.5-4
5	review_count	100-200
5	yelping_since	2006
5	useful	100-200
5	funny	0-100
5	cool	0-100
5	fans	0-10
5	average_stars	3.5-4
6	review_count	100-200
6	yelping_since	2006
6	useful	100-200
6	funny	0-100
6	cool	0-100
6	fans	0-10
6	average_stars	3.5-4
7	review_count	100-200
7	yelping_since	2006
7	useful	100-200
7	funny	0-100
7	cool	0-100
7	fans	10-20
7	average_stars	3.5-4
8	review_count	100-200
8	yelping_since	2006
8	useful	100-200
8	funny	0-100
8	cool	0-100
8	fans	10-20
8	average_stars	3.5-4
9	review_count	100-200
9	yelping_since	2007
9	useful	100-200
9	funny	0-100
9	cool	0-100
9	fans	0-10
9	average_stars	3.5-4
10	review_count	100-200
10	yelping_since	2007
10	useful	100-200
10	funny	0-100
10	cool	0-100
10	fans	0-10
10	average_stars	3.5-4
11	review_count	100-200
11	yelping_since	2007
11	useful	100-200
11	funny	0-100
11	cool	0-100
11	fans	0-10
11	average_stars	4.0-4.5
12	review_count	100-200
12	yelping_since	2007
12	useful	100-200
12	funny	0-100
12	cool	0-100
12	fans	0-10
12	average_stars	4.0-4.5
13	review_count	100-200
13	yelping_since	2007
13	useful	200-300
13	funny	0-100
13	cool	0-100
13	fans	0-10
13	average_stars	3.0-3.5
14	review_count	100-200
14	yelping_since	2007
14	useful	200-300
14	funny	0-100
14	cool	0-100
14	fans	0-10
14	average_stars	3.0-3.5
15	review_count	100-200
15	yelping_since	2007
15	useful	200-300
15	funny	0-100
15	cool	0-100
15	fans	0-10
15	average_stars	3.5-4
16	review_count	100-200
16	yelping_since	2007
16	useful	200-300
16	funny	0-100
16	cool	0-100
16	fans	0-10
16	average_stars	3.5-4
17	review_count	100-200
17	yelping_since	2007
17	useful	200-300
17	funny	0-100
17	cool	0-100
17	fans	0-10
17	average_stars	3.5-4
18	review_count	100-200
18	yelping_since	2007
18	useful	200-300
18	funny	0-100
18	cool	0-100
18	fans	10-20
18	average_stars	3.5-4
19	review_count	100-200
19	yelping_since	2007
19	useful	200-300
19	funny	0-100
19	cool	0-100
19	fans	10-20
19	average_stars	3.5-4
20	review_count	100-200
20	yelping_since	2007
20	useful	200-300
20	funny	0-100
20	cool	0-100
20	fans	10-20
20	average_stars	3.5-4
21	review_count	100-200
21	yelping_since	2007
21	useful	200-300
21	funny	0-100
21	cool	0-100
21	fans	10-20
21	average_stars	3.5-4
22	review_count	100-200
22	yelping_since	2007
22	useful	200-300
22	funny	0-100
22	cool	100-200
22	fans	10-20
22	average_stars	3.5-4
23	review_count	100-200
23	yelping_since	2007
23	useful	200-300
23	funny	0-100
23	cool	100-200
23	fans	10-20
23	average_stars	3.5-4
24	review_count	100-200
24	yelping_since	2007
24	useful	300-400
24	funny	0-100
24	cool	100-200
24	fans	0-10
24	average_stars	3.5-4
25	review_count	100-200
25	yelping_since	2007
25	useful	300-400
25	funny	0-100
25	cool	100-200
25	fans	0-10
25	average_stars	3.5-4
26	review_count	100-200
26	yelping_since	2007
26	useful	300-400
26	funny	100-200
26	cool	200-300
26	fans	10-20
26	average_stars	3.5-4
27	review_count	100-200
27	yelping_since	2007
27	useful	300-400
27	funny	100-200
27	cool	200-300
27	fans	10-20
27	average_stars	3.5-4
28	review_count	100-200
28	yelping_since	2008
28	useful	0-100
28	funny	0-100
28	cool	0-100
28	fans	0-10
28	average_stars	3.5-4
29	review_count	100-200
29	yelping_since	2008
29	useful	0-100
29	funny	0-100
29	cool	0-100
29	fans	0-10
29	average_stars	3.5-4
30	review_count	100-200
30	yelping_since	2008
30	useful	100-200
30	funny	0-100
30	cool	0-100
30	fans	0-10
30	average_stars	3.5-4
31	review_count	100-200
31	yelping_since	2008
31	useful	100-200
31	funny	0-100
31	cool	0-100
31	fans	0-10
31	average_stars	3.5-4
32	review_count	100-200
32	yelping_since	2008
32	useful	100-200
32	funny	0-100
32	cool	0-100
32	fans	0-10
32	average_stars	3.5-4
33	review_count	100-200
33	yelping_since	2008
33	useful	100-200
33	funny	0-100
33	cool	0-100
33	fans	0-10
33	average_stars	3.5-4
34	review_count	100-200
34	yelping_since	2008
34	useful	100-200
34	funny	0-100
34	cool	0-100
34	fans	0-10
34	average_stars	3.5-4
35	review_count	100-200
35	yelping_since	2008
35	useful	100-200
35	funny	0-100
35	cool	0-100
35	fans	0-10
35	average_stars	3.5-4
36	review_count	100-200
36	yelping_since	2008
36	useful	100-200
36	funny	0-100
36	cool	0-100
36	fans	0-10
36	average_stars	3.5-4
37	review_count	100-200
37	yelping_since	2008
37	useful	100-200
37	funny	0-100
37	cool	0-100
37	fans	0-10
37	average_stars	4.0-4.5
38	review_count	100-200
38	yelping_since	2008
38	useful	100-200
38	funny	0-100
38	cool	0-100
38	fans	0-10
38	average_stars	4.0-4.5
39	review_count	100-200
39	yelping_since	2008
39	useful	100-200
39	funny	0-100
39	cool	0-100
39	fans	0-10
39	average_stars	4.0-4.5
40	review_count	100-200
40	yelping_since	2008
40	useful	100-200
40	funny	0-100
40	cool	0-100
40	fans	0-10
40	average_stars	4.0-4.5
41	review_count	100-200
41	yelping_since	2008
41	useful	100-200
41	funny	0-100
41	cool	0-100
41	fans	0-10
41	average_stars	4.0-4.5
42	review_count	100-200
42	yelping_since	2008
