585	2007-01-25 16:47:26	7217	1259	5994	267	3.91
665	2008-07-25 10:41:00	2086	1010	1003	52	3.32
224	2005-11-29 04:38:33	512	330	299	28	4.27
358	2008-12-11 22:11:56	399	102	143	23	3.73
109	2010-01-07 18:32:04	154	20	23	4	3.4
535	2009-05-27 06:12:10	1130	487	573	31	3.89
682	2006-08-25 16:47:25	1819	1138	1297	44	3.75
607	2009-04-27 20:25:54	4573	3714	4149	131	4.11
133	2009-07-11 16:47:38	201	52	44	4	3.6
201	2010-06-14 21:44:28	555	141	203	5	3.52
348	2006-03-03 08:10:12	2063	1260	1537	116	3.93
564	2007-08-05 06:34:02	819	291	459	37	3.81
254	2007-12-19 02:56:45	410	243	275	21	3.69
801	2008-08-16 22:43:21	1944	616	737	75	3.41
715	2005-11-30 20:54:16	808	258	712	37	3.79
250	2007-06-26 15:50:11	507	155	150	15	3.53
300	2008-02-18 01:40:04	439	175	143	22	3.63
460	2006-01-24 14:33:32	700	149	425	49	3.33
460	2007-07-12 14:46:03	1500	1982	1210	63	3.81
102	2010-03-20 17:40:40	150	42	30	7	3.54
194	2007-10-07 01:53:14	279	89	90	4	3.26
177	2008-02-19 20:09:52	466	210	328	25	3.85
108	2008-12-13 09:14:24	71	44	39	2	3.87
100	2005-12-12 06:30:39	100	19	25	2	3.19
155	2010-09-10 16:17:27	222	42	68	5	4.11
518	2009-04-11 14:35:46	1325	450	348	35	2.95
319	2007-10-12 18:59:21	488	134	180	19	3.93
371	2010-01-26 21:04:52	2933	1129	1861	112	3.45
556	2008-11-16 05:10:49	606	248	326	31	3.85
105	2007-10-04 20:48:56	51	17	17	4	3.08
157	2010-09-21 18:14:11	92	38	37	5	3.63
187	2007-06-15 20:02:41	313	91	131	9	3.81
666	2008-01-24 14:46:02	1329	590	470	47	3.28
183	2008-06-01 18:09:54	258	88	105	11	3.89
500	2011-06-01 21:02:59	2546	1433	1862	104	3.95
199	2011-03-18 11:58:09	482	150	131	9	3.4
252	2011-09-25 19:36:00	457	140	140	18	3.77
950	2008-10-16 21:03:02	1243	368	527	35	3.81
265	2008-02-14 04:54:46	475	54	261	8	4.2
141	2010-06-03 01:28:04	193	90	65	8	4.2
111	2007-06-29 02:06:46	205	45	123	7	3.74
549	2009-08-21 17:28:19	948	280	511	55	4.05
115	2009-02-05 23:38:48	46	18	14	2	3.77
123	2010-08-31 13:25:09	154	22	46	7	4.2
129	2009-05-08 23:19:18	115	26	33	2	4.0
324	2009-08-25 06:41:56	741	305	344	16	3.82
364	2006-05-23 01:55:48	1090	562	642	56	3.89
544	2008-01-04 17:55:57	521	218	164	19	3.75
111	2010-08-01 20:00:52	286	91	119	10	3.77
538	2010-07-30 22:23:15	694	357	359	23	3.5
920	2009-01-25 06:23:45	2377	729	1415	88	3.95
159	2009-07-16 15:25:27	255	194	145	6	3.53
502	2008-02-02 19:38:43	1233	347	713	55	3.55
283	2008-05-03 21:46:52	741	177	486	41	3.62
141	2010-06-17 22:38:44	225	58	83	18	4.22
172	2008-07-13 17:37:16	267	393	198	8	3.03
885	2010-04-26 20:45:56	2501	485	767	50	3.84
209	2007-09-29 03:45:23	210	83	53	5	2.91
182	2010-08-18 05:34:05	573	146	271	12	3.8
205	2008-09-12 20:34:26	423	435	289	27	3.64
483	2009-01-05 22:36:08	2036	1265	1467	41	3.27
296	2008-05-15 23:30:56	628	113	120	22	3.5
394	2008-06-04 18:44:01	787	416	425	22	3.71
191	2009-02-26 13:42:02	281	71	70	7	3.51
629	2009-07-22 19:48:45	739	133	141	15	3.82
823	2009-07-09 21:44:43	2913	2196	2342	83	3.77
319	2006-12-21 03:58:10	667	425	437	29	3.88
947	2007-09-24 21:15:37	4028	887	2159	89	3.65
136	2008-02-28 04:44:26	140	29	44	9	4.2
162	2008-02-28 20:25:33	220	49	30	3	2.95
986	2007-08-22 17:13:14	628	105	223	21	3.63
147	2006-01-18 18:01:34	178	43	75	13	3.75
159	2010-02-05 22:30:21	256	51	77	11	3.67
690	2010-01-19 02:44:55	959	425	378	48	3.64
593	2006-06-21 20:03:01	1216	307	502	36	3.79
449	2006-01-04 22:31:35	510	136	204	10	3.82
327	2007-10-25 00:56:30	2000	1436	1899	101	3.78
759	2006-11-05 06:24:29	2485	2156	1843	70	3.7
228	2009-10-26 16:24:27	453	58	183	13	3.71
373	2009-08-04 21:48:51	708	279	375	34	4.2
585	2010-06-30 14:35:13	866	196	281	39	3.92
695	2006-11-08 18:36:50	1559	951	861	104	3.82
391	2006-08-15 01:27:52	1174	233	544	39	3.89
1000	2010-07-13 01:21:32	1821	644	829	87	3.66
557	2007-05-07 22:25:48	2002	2234	1812	79	4.14
376	2009-01-15 16:40:06	1373	723	639	41	3.5
651	2010-07-05 14:23:00	599	246	154	22	3.02
707	2009-01-04 18:51:16	1064	314	643	41	3.65
275	2009-02-18 06:35:37	265	96	125	17	3.45
193	2009-08-27 19:07:33	411	120	178	18	4.03
366	2007-08-10 19:55:50	1484	898	1141	63	3.95
363	2008-01-11 00:09:38	2012	1416	1776	48	3.89
703	2008-05-07 20:40:15	1577	430	699	53	3.81
105	2009-05-27 02:41:46	209	104	100	10	3.46
684	2006-04-03 17:20:01	1646	892	987	76	3.9
920	2009-07-23 16:04:56	2158	1352	1530	59	3.65
793	2010-08-17 03:31:03	3259	1893	2394	127	3.85
114	2009-06-27 21:15:22	86	20	15	6	3.66
631	2005-11-15 19:42:07	1241	354	587	75	3.68
797	2006-12-13 21:15:35	1952	748	837	77	3.93
388	2007-06-09 18:24:56	2714	1872	2158	103	3.98
183	2008-10-27 15:16:11	639	420	406	26	3.65
307	2009-01-08 23:55:17	582	142	300	25	3.64
152	2011-05-17 19:06:27	245	118	78	6	3.46
217	2007-12-16 01:46:41	602	226	374	247	3.5
228	2008-03-21 16:49:21	1112	641	658	37	3.81
675	2009-06-13 21:49:41	1964	690	983	110	4.19
625	2007-08-29 19:23:17	3651	2696	2876	83	3.99
474	2009-07-06 14:45:36	418	186	270	32	3.87
321	2006-12-05 22:05:19	1819	1300	1678	90	3.97
775	2008-02-12 06:07:03	2006	458	1175	38	4.05
161	2007-05-06 22:48:26	410	211	221	23	3.63
129	2008-03-13 22:19:51	297	74	204	10	3.77
399	2011-02-15 17:01:33	807	243	355	44	3.81
379	2009-04-02 14:43:24	1766	993	1319	76	4.22
